post,tema,topic
 jes zanimljiv tog incesta dobar plavušan višak vidi ćoravo wojteče gledao bar po naslovima jebote pta a ja gledam svakakve splačine indijske c nigerijske ž produkcije najbolje odem ovih prodaju ulici uzmem dvd lijeva produkcija al budu loši filmovi d,umetnost,2
 plavusana film jeste on izgleda adekvatno ulogu,umetnost,2
 jeste kraju nameće po on isprdak prolazna stvar edit merion kotiljard eva grin imale golišave scene početku karijere taksi kecu a eva sanjarima,umetnost,2
odgledao pola jod ranije dosta gluposti al radi tedko reći vaљa svakakvih filmova proguglaj naslove interesuju liutenant audition misery irreversible provereni filmovi mod pogredid kakav ti ukus barem utisak pink flamingos meet feebles sumanute zajebancije groteska љudska stonoga cista ekplotacija begotten holy mountain eksperimentalni po ,umetnost,2
 isprdak zlice pretesko odustati nekoga toliki deo a on nov njenom zivotu,umetnost,2
aha a on osjetio žestinu krenuo revoluciju najveća american cunt ostao išao odvali molotovljev krlja drotovima,umetnost,2
 odgovorila on ratnik ljubavnik jebeno gej,umetnost,2
 odgovorila kakav zilj,umetnost,2
e cuti ti tim ziljavim avatarom,umetnost,2
benisio dobar čoek dobar glumac radio depom oš d,umetnost,2
 preporuka streetcar named desire jeste prastaro vivien genijalno odglumila,umetnost,1
aj deepthroat torrent valjda d,umetnost,2
hahahhaha ja skinula gledam jako razocarala veoma brzo potpuno smetnuh uma cinjenicu tada maljavi zgrozih ,umetnost,2
 never lied in my life žene znale lagati prije godina d,umetnost,2
zar kaze in my heart,umetnost,2
jes ja zanio vidim valja a marlon šmeka standardno d,umetnost,1
zivotinja znas ceka samar najbolji seks zivotu spam good shepard fin film,umetnost,1
untraceable dobar film,umetnost,1
 nasao individualni torent daj link ovako dodao tog torenta httpvukajlijacomforumtemetorrent dao covek invajt privatni treker torent postoji javnim sajtovima poput pajrtbeja a ja jod nemam mogućnost deљeњa pozivnica,umetnost,2
 vojtece daklem film inside vojtekove liste sick filmova kategorisan horor horora ni h jedna jedna po scena nazvati potpuno nestrasnim tj trgnuti sekund sekund ostalo jako jako gnusno slabasnu pricu probali nadoknaditi abnormalnim kolicinama krvi tolikim nekim trenucima pozelela anatomiji preracunali istocili litre litre svuda po kuci stekoh utisak producenti cak izmisljali nebitne likove moglo krvi prolije beba rodjena toku noci inace verovatno raznosaca novina zaklali a komsinicu zajmi rozen tortu jehovine svedoke svratise mahnu svakom slucaju dve stvari ostaju nejasne skroz prva moguce deca sirotista jebeno gnusna ljudima ce ubiti ljudi uspeli iscupaju stomaka levu bebu ce imati ruzan nos klempave usi tatu nelepim cedom beze celog zivota umesto lepo usvoje lepuskasto cigance nismo gadni zive hapily ever afterili eventualno napumpa zaboga lakse uraditi ovu debilnost nejasno prsla manje meseci ju napumpao meseci ranije a druga stvar zene svetu osim glavne glumice zapravo kontrakcije periodu izmedju pucanja vodenjaka dva minuta samog rodjenja lose cula nekih picaka verovatnoova picka borila krvavo cak kevu rodjenu uspela zakolje plasticnom snalom pundju valjda kinezi najlosije uvoze a fensi stamene dva detalja gotivna zlotvor blene ispred vrata toaleta maltene oseca fizicki bol krvavi fajter a drugo poslednja scena ljulja bebu izgorela krvava odvratna srecna anyway preporucujem,umetnost,2
insajd zub zub fazon ti kriva ja izgubila bebu ap ja ti vratim dvaes puta gnusniji nacin slažem horor tipicnom smislu filmova liste jeste insajd napet gadan punim pravom svrstava međ filmove zdruge strane ja odgledah nekromantik covece preterao doku izazove smedan vidim rediteљ gura socijalni komentar surovosti drudtva cini izgovor sedamdeset minuta jebaњa ledeva film svakako gadan vizuelno najužasnijih video tematike solidnih efekata debelog cemera kojim nemacki film osamdesetih zraci jednostavno filmu smorio nikakvu pricu tridesetak linija dijaloga petnes minuta trckaraњa po cvetnim poљima puta toku filma mogao verujem gledam pogotovo nondalantne prezentacije sladuњave muzikice pozadini dou filma kome mogao preporucim,umetnost,2
 opisivao httpwwwyoutubecomwatchvgixopzypoe,umetnost,2
 cvetna poљa fali nekrofilija ,umetnost,2
wojtece volis old skul,umetnost,2
 kom smislu tj konkretno mislid,umetnost,2
starije ribe ,umetnost,1
 kvalitetne filmove recimo goli sedlu recimo tipa,umetnost,2
naravno old skul dtavide filmovi tog tipa jedni prvih modernih udaљavaju onog fazona prodavao dezdesetih,umetnost,2
zdruge strane ja odgledah nekromantik jedno vreme razmidљao tome odgledam a netu naleteo klip ovog filma odustao ideje,umetnost,2
 odgledao krajaali film ,umetnost,1
 preporučim pet minareta njujorku gomili sranja gledam međ novim filmovima delo turskoameričke produkcije stvarno odskače drugačijim scenarijom drugačijom glumom turci jebu majke produkciju vrhunsku odlične glumce a priča ludilo obrta pogleda,umetnost,2
httpwwwimdbcomtitlettusercomments recenzije clanova imdba obicno užasno dosadne jebena pobeda,umetnost,2
jebote stvarno pobeda,umetnost,2
e ovakve đe imdbu kraj a eo skoro gledao ostavio prilično dobar utisak iako spor čega gledao tri puta netipičan bavi prilično neistraženom temom fenomenalno snimljen enter void,umetnost,2
ja odgledao dvapski vejv nakon video preporuke jod ranije cemu fora film izgleda neuverљivo a ni tema nova jedino kraj odrađen,umetnost,1
gm odgledao education,umetnost,2
 teme,umetnost,2
 gledao hangover ii ,umetnost,2
gledo ja potpuno isti prvi deo,umetnost,2
 prvi bolji mislio zasititi njihovih gluposti razočarao moram priznati očekivao džabu a dobiomnjah,umetnost,1
odgledacu po najboljih filmova svake godine snimaju filmoviznaci puta broj podzanrova puta broj godina snimaju filmovito daje ogroman brojboga pitaj toa realno filmove minimum zanimajuali cisto radi reda nekogzanima moguce uopste izvesti,umetnost,1
gledao ja hangover dobar jemada skoro prvom delu,umetnost,2
olanik filmovi zanimaju ti glupa recenica nadam trol,umetnost,2
pufnice filmove gledaju efekata matriks fore lololo nikola kojo pocepa snajpom četvrtom čoveku,umetnost,2
httpwwwimdbcommediarmtt lesli nilsen crnom kosom film sf ,umetnost,1
preseravanje ja pogledao quo vadis cini genijalan film preporuka realno serem po novim filmovima al odavno vele kvalitet pogledao cas izuzecima ,umetnost,2
gamby kakve filmove najvise voli recenica transfernoblamirajuca,umetnost,2
 gledao xmen juče,umetnost,2
httpstaticguimcouksysimagesguardianpixpicturessarcmarkjpg,umetnost,2
a jebiga moron,umetnost,1
gamby kakve filmove najvise voli recenica transfernoblamirajuca post,umetnost,2
olanik,umetnost,2
ma olanik trolcina x profila x,umetnost,1
 ja ostao otusevljen preporuka,umetnost,2
ljudi skidajte ciudad de deus city of tropa de elite topla preporuka edit four lions is a fuckin must see,umetnost,2
 dan napiso gledo hangover reko e isti prvi deojeb moram vako kaizenu dobre obicne kurve oce karaju velki biznismeni skupi para unapredjenje foruma de citiranja e ovak stoe stvari picka prodaje filmove ulici uvalila prvi deo kutiji kojoj slika drugog dela ja mucenik odgledo prvi deo misleci gledam drugi potpuno isti prvi jeste prvi,umetnost,2
ponoćni kauboj super film gledao dosta davno sećam ubio,umetnost,2
prijatno iznenadio xmenorigins glumci kul priča fino uklopljena efekti gotivni,umetnost,2
dakle gledao nebrojeno filmova čudno obzirom svakoga bogovetnog dana odgledam bar po poslednji gledao beše illusionist godine film kaže smrad hujo prijatno iznenadio nedosadnim sadržajem a bitnije jedna među mojim omiljenim glumicama lepoticama jessica biel briljira lepoti ulozi,umetnost,2
boy a,umetnost,2
 man from nowhere juzna koreja apsolutna preporuka,umetnost,2
 љubiteљe istorijskog spektakla preporucujem – hronika smutnog vremena naravno ostalim istorijskim filmovima potencirani efekti legende istorijske ciњenice drugom planu zanimљiva pradina podigla tog filma linka ka tome httpwwwreuterscomarticleidusindia,umetnost,2
 dva sata kvalitetnog cemera,umetnost,2
sasvim solidan doduse nov ,umetnost,2
sasvim solidan doduse nov odličan preporučim ja bejlom prestige prelistao celu temu odgledao loš man from earth,umetnost,2
 grk napravi preporuka po,umetnost,2
 odgledao loš man from earth film cisto govno,umetnost,2
 meda predlagao davno negde cini vaљda temi srpski film hteo odgledam zaboravio,umetnost,1
kazes wojtekov zdjuov cini ranije pljuvao po ovom potonjem los moralnu obavezu ponovim zajebao odgleda,umetnost,1
vojtekov video komentar,umetnost,1
 film cisto govno verovatno jeste zanmimljivo,umetnost,1
jericho sasvim solidan doduse nov cuj sasvim solidan odgledah film prava poslastica љubiteљe psiholodkog trilera zanimљivo bejl ovu ulogu smrdao kg kg djete navodno hteo jod smrda al mu dali uloge ponovo ugojio filmu izgleda sablasno uživio ulogu,umetnost,2
 uloge ponovo ugojio aj ugojio nabacio tries kila midića betmena tek meseci madiniste,umetnost,1
httpiamediaimdbcomimagesmmvbmtumtgxodmnlbmlbanbnxkftztcwmjmxndewnavsyjpg veceras cu odledatiortak ranije prepricavao scene reko zoveali zaboravio tek sinoc nasao imdbju,umetnost,1
epska scena maksimus uleće pravi rdum httpwwwyoutubecomwatchvwohjikafeaturerelated,umetnost,2
 onim likom hangoveramorate pogledati,umetnost,2
 l pominjan sajtu film napoleon dynamite odličan,umetnost,2
napoleon dynamite nigde netu nadjem onlajn gledanje,umetnost,2
herkules њujorku prvi dvarcijev film trve kvlt preporucujem titlovi stop,umetnost,2
herkules њujorku prvi dvarcijev film trve kvlt preporucujem titlovi stop uuuuuu kevu,umetnost,2
 razume filmove belmondom naziv jednog kom obuce novo odelo zaboravi skine etiketu ide narod,umetnost,1
httpwwwimdbcommediarmtt obavezno pogledatifilm zesci lsd trippogotovo pri krajusnimljen davne kevu svim danasnjim sf filmovimareditelj stenli kjubikkoji takodje reditelj klokvud orandza takodje preporucujem,umetnost,1
 vam dam moju listu omiljenih filmova usual suspectsfight clubseeninglorious bastardssawsamo prvi deozato kraj oduševiokill billdosta tarantinovihpulp fictiondark cityshutter islandosim saw horora volim način snimljeni rec cloverfieldthe blair witch projectrequiem a dreamforrest gumpjedna bljih komedija volimsin citythe sixth sense a starijih rosemarys baby eto dosta napisao jošpa vidim mislite x,umetnost,1
law abiding citizenslumdog millionairesawsvi djeloviwedding crasherspirates of caribbeansvi djelovipursuit of happiness dobar triler dobar film djelovanek ostavi posthvala,umetnost,2
breaking waves lars von trir emily watson jebala majku majčinu,umetnost,1
hburn triler seen usual suspects definitivnoshutter island fight club x,umetnost,1
fermats room solidan triler dobar scenario,umetnost,1
el film preporuci fazon kjuba,umetnost,1
kjub ,umetnost,1
domi nastavke cube cube zero a tog tipa japanski batlle royal saw,umetnost,2
 vidite linku navode nastavci naravno gledao iako go odnosu prvi gledao exam slican ovima preporucujem vam sviđaju takvi filmovi fala tobčijo predložite jod znate ,umetnost,2
napoleon dynamite,umetnost,1
 reci postoji film foru butterfly effecta a inception ,umetnost,1
eternal sunshine of spotless mind,umetnost,2
hotel ruwanda,umetnost,1
ljudi vam olakšam postoji veoma koristan sajt zove tastekid httpwwwtastekidcom ukucate imena filmova on vam izbaci filmove slične ,umetnost,2
tobdžija daashutter island usual suspects gledaofenomenalni sua seen fight club cu takodje pogledamhvala preporuci,umetnost,1
 loših dobrih fora valja pogledat zavara početak filma misao puštih jebote film skoro kul,umetnost,1
 pohvalim odgledao kalvariju film onakav zamidљao dtoćereći odlican jod jedna potvrda film mod lod scenarija režije montaže produciraњa dovati covek draguљ postsfrjgejhorordramaromansa podžanra,umetnost,2
meśa čim glumi samuel l jackson film valja bar dd hburn čemu x,umetnost,2
semjuelova gluma film go a fora početak mislio počinje klišeizirani film američkim pravednim policajcima zapravo film jes eto smiješan,umetnost,1
 primer niskobudžetni film dolazi engleskog govornog područja iznenadi kvalitetom dobar film,umetnost,1
 noviji valja pogledati odličan,umetnost,2
 prijatno iznenadio film pogledajte trejler dosta tripova puta nasmejao a smejem cesto filmova,umetnost,1
whatever works attempting impress his ideologies on religion relationships randomness worthlessness of existence lifelong new york resident boris yellnikoff rants anyone who will listen including audience but when he begrudgingly allows naive mississippi runaway melodie st ann celestine live in his apartment his reclusive rages give way an unlikely friendship boris begins mold impressionable young girls worldly views match his own when it comes love whatever works is his motto but his already perplexed life complicates itself further when melodies parents eventually track her down,umetnost,2
cop out zanimљivih scena smarackih prosek vadi don vilijam skot ,umetnost,1
a holandski horor centipede man im nabijaju glave guzicu spoje čoveka ispadne gucsenica ,umetnost,1
lx human centepideuskoro ce drugi deojedva cekam,umetnost,1
death becomes her crna komedija meril strip skroz ok,umetnost,1
 town pogledati naravno gledao rane propušta,umetnost,1
 uživajte ja gledao puta httpwwwyoutubecomwatchvulwbybaes,umetnost,2
 preporuci dobar italijanski film,umetnost,2
httpwwwfilezstscreenshotsilmostrodvdripjpg,umetnost,2
roberto nikoleta glume zajedno svakom filmu jebote edit fala urode,umetnost,2
 koga uvali svoju ženu čarmude ucini simpaticna,umetnost,1
am stoji,umetnost,1
tigar sneg odlican supružnicki film,umetnost,2
gledala ,umetnost,1
 ti dobrog italijanskog filma nisi gledala nećeš pokajati ,umetnost,1
odlican film originalu entre les murs httpbpblogspotcomixfyruplktddzywziaaaaaaaaajelujuahegeistheclassjpg,umetnost,2
ja redio d apogledam ostvareњa eda vuda,umetnost,2
 posalje link onlajn gledanje filma život smrt porno bande pošto ja nadjem nek pusti ovdi al radi unapred zahvalan danac jan,umetnost,2
gledao dangerous liaisons juče glen klozrodjena uloge sujetnih kučki nenadjebiva tome kostimi super gluma superkijanua računamo glumu odabir glumacajebeni horor prvo prvo padao glavu previše puta detinjstvu rekao džonu malkoviču onom facom glumi jebačakontam ja on dobar glumac niko dobar glumac bko rekao umi turman dvometraškoj prakljači glumi nevinu nežnu devojčicu cko rekao kijanu rivsu glumi,umetnost,2
 popljuvo ranije moram priznam izbor mišel fajfer sabija teško mogla izneti ulogu mislio drugačije pročitao abreže filma netusećajući opusa njenih filmova kome glumila fufice uspela,umetnost,2
iako gledao film pravu sigurno misel fajfer cak grimasu kianu rivsa grimasu dobila vrsni glumci ja obozavam oboje glume,umetnost,2
recimo propustio kompletnu kinematografiju starijeg datuma a istovremeno smučile holivudske limunadice ddobijem dvd klubu ajde preporučite naslove svakako videti a stariji legendarni posebno izrazito autorske,umetnost,1
misel fajfer cak grimasu kianu rivsa grimasu dobila nećeš verovati nakon ovog filma ozbiljno posumnjao ume glumi očigledno reditelj cast director tko nekonvencionalan izboru glumaca mu mišel isplatilo turmanovom rivsom žena glumi očima vidiš polako njena maska uštogljene religiozne moralistkinje polako lomi mala pukotina ledu širi cele površine bujica reke probije ispod kraja filma postala jedini lik kog iskreno stalo premda ni kolena glen klouz vredelo pogledati film dve kostima ukratko film preporučujem svakom kome smeta faca džona malkoviča,umetnost,1
mišel fajfer uma turman banderas selma hajek najjaci glumci najjaci ubedljivo najjaci reditelj kventin tarantino preporucujem vam road trip glumi niko ovih glumaca niti tranantino režirao film kevu,umetnost,2
mišel fajfer uma turman banderas selma hajek najjaci glumci najjaci kontam ja podjebavati rekao mišel fajfer zapravo glumila jednome filmu al bole brazil spomenuo ranijegledajte ljudi obavezna filmska literatura,umetnost,2
e hajte ljudi pomozite pošto nikako nađem film gledao mngo uglavnom radnja vrti nekih dvoje uzrasta koledžu momak nagovara devojku putuje njim on inače opsednut jednim piscem kome stalno piše mu en odgovara zatim beže zajedno stvari beži njim kuće filmu zove likuša ti džej glumi poznata glumica ime teče radnja nagovara ubije tog pisca on ostaje pri svome ostavlja kreće stopom međutim ulazi nekog kamiondžije krenuo vatati izlazi kamiona al pošto velika zima dobija promrzline završava bolnici on posećuje kaže ubio tog lika a nekoliko sati kasnije umire zadnja sccena on bolnici drži flašu brod flaši američki film ,umetnost,2
gledao much ado about nothing braninoj adaptaciji prijatno iznenadio video majkla kitona zanimljivoj ulozi dobra hemija izmedju brane tomsonove logično tad braku al spektakularno cela postavka dopala siguran zašto generalno volim komedije zabune meh,umetnost,1
pročitao strane našao filmova zahvaljujem preporučujem dylan doga novog loš film razočarenje,umetnost,2
 lod ocekivao osnovu opisa nekih rivjua,umetnost,1
 ocekivao osnovu opisa nekih rivjua nekako zbrzan kraju ,umetnost,1
 kraj svideo film zabavan zanimljiv kraj potpuno nemaštovit,umetnost,1
 post temi,umetnost,2
 link download chasing holden,umetnost,2
 link skidaњe hengover dobar snimak,umetnost,1
 linkove probaj online gledanje ti dobar net drugi dio,umetnost,2
dube zajebaji postoji dovoljno dobar net mogao podnese lololololo,umetnost,2
 ja probao nemam konstantan net valja link,umetnost,2
 odgledao hengover dobar film ljudi obavezno pogledajte svidja zika puno rnba,umetnost,2
 filmčina gledate httpwwwyoutubecomwatchvdkicuggh,umetnost,1
lestate trolololololuješ ,umetnost,2
gej smajli,umetnost,2
verbalni prvi neuporedivo bolji,umetnost,2
preporucujem jeder für sich und gott gegen alle iliti enigma of kaspar hauser hercoga onih mejksmivonder filmova,umetnost,1
httpwwwyoutubecomwatchvjamacysyrufeaturerelated volim preterano đonija moram priznam trijumfovao ninth gate by čika roman polanski,umetnost,1
verbalni prvi neuporedivo bolji slažem drugi loša kopija prvog dela a momente deluje scene gurali unutra produže trajanje filma,umetnost,2
moram ubaciti reći film potpuno preduvan džoni potrčko zlog buržuja kolekcionara knjiga mlati po evropi kresne sotonu preobraženog simpatičnu padavičarku interesantniji film osmisliti tri lika bleje po beogradskim urban fensi rupčagama svojih dalje lože upisati režiju,umetnost,2
auu prvi put čujem baca hejt filmove genija roman ukusi različiti pitanje kvaliteta ukusa ,umetnost,1
kvalitet ukusa postoji ukus potpuno subjektivna stvar ničim izmeriti rekla film preporučen nekog povučenog ženskastog adolescenta mračne podsvesti izgradjenu osobu dvadeset kusur pljujem polanskog film svidja pokušaj internet spuštanja prozivkom uvijenom oblande dopunjenom smajlijem kraju rečenice prošao naravno,umetnost,2
 ukus potpuno subjektivna stvar čemu prepucavanje kritike pročitala delo prema kom rađen film imala takav stav internet spuštanje toku,umetnost,2
tema filmovima čita delo odem biblioteku prepucavanje kritike služi internet ovakve teme pravo popljujem svidelo pljuvačina vid neobavezne usputne kritike strane nekog bavi filmom uostalom ti preporučio najpoznatijih filmova kraja devedesetih temi gomila besposlenih arogantnih ljudi gadja ruskim independent otvoriću vam oči kroz minutni monolog snimljen nokiom mojoj dnevnoj sobi tipom filmova očekivati prethodnih godina pogledali puta skupa imamo muda po istom poseremo,umetnost,2
opa kratak fitilj vidim polako diši savet nađi muškarca ženu stvarno zadovoljiti ,umetnost,2
auu prvi put čujem baca hejt filmove genija roman ukusi različiti pitanje kvaliteta ukusa ja volim film neviđeno a tiče samog polanskog nek zatvoru gdje mu mjesto napucanim robijašima a maloljetnicama kreten isporuče ekspresno,umetnost,1
a tiče samog polanskog nek zatvoru gdje mu mjesto napucanim robijašima a maloljetnicama kreten isporuče ekspresno po tvojoj priči ispada gotiviš čoveka brstio mladu piletinu bože dub radi ceo jebeni hollywood,umetnost,2
naivan film jako a љubiteљ polanskog al dtajaznam uživao nekako gledao kul ,umetnost,2
uživao nekako gledao kul molim lepo,umetnost,1
polanski genijalac elem odgledah juče httpwwwimdbcomtitlettfullcreditscast prilično dobra stvar gluma odlična a dodaje mu dimenziju rađeno po istinitoj priči,umetnost,2
po tvojoj priči ispada gotiviš čoveka brstio mladu piletinu bože dub radi ceo jebeni hollywood pobjegao amerike nevin nevažno sviđa film dodao mišljenje romanu,umetnost,2
elem odgledah juče httpwwwimdbcomtitlettfullcreditscast odličan film tera dovodiš pitanje sopstvene motive principe naravno ralph a pobjegao amerike nevin ni rekao nevin oo,umetnost,2
eto veći genijalac nolan polanski,umetnost,2
bebope fajns okali turturo razvalio,umetnost,2
 turturo razvalio pardon pomenuo našeg trenutno autobot agenta ,umetnost,1
 skuplja čovek pare bira uloge a tvrdim baja najboljih živih glumaca,umetnost,1
 film,umetnost,2
 film a ti dosadno,umetnost,2
 setio panamskog krojača ,umetnost,2
 piše trišo čemu radi veliki fan pirsa brosnana a džefri raš glumi zanim,umetnost,2
 onako opisuje panamu nakon norijega zbačen vlasti interesantno opisuje istu društvenu situaciju diktator mrtav a njegovi stari pajtosi ostali vlasti a pravi opozicionari mrtvi prodali priča jednom krojaču mutne prošlosti završio zatvoru naučio krojački zanat izašao oženio počeo porodičan normalan život elem dolazi britanski agent kojeg glumi pirs brosman ucenjuje krojača mu otkriva tajne panamskog džetseta planove kanal krojač zadovolji agenta počinje izmišlja priče nekoj revoluciji agenat iskoristi priču zaradi pare špijun uradio dobar posao kaže britancima izmišljotine naravno ameri doznaju kreću rat spreče panamski kanal padne ruke revolucionara kraju jedva uspeva razreši situacija uglavnom prepričao liči komediju al film interesantan eh izvinte spojler,umetnost,2
eh izvinte spojler hahahaha sreća odgledao sinoć tvu,umetnost,1
mediterraneo nekako najboljijedini film kog smejem sav glas a deset minuta plačem nekako objasnio film gledala milion puta opeta muzika mu neprevaziđena,umetnost,2
 film izlizana tema totalno,umetnost,2
legendarne trandže vrlo lep filmić httpwwwimdbcomtitlettplotsummary,umetnost,2
 gledao film dve kineske lezbijke pinku sećate zove,umetnost,1
sačuvati obraz,umetnost,2
zanimljiv film limunada mrsna svadba kineski način,umetnost,1
 lezbejkama dosta zanimljiviji al stigao pola odustao ,umetnost,1
 gledao horrible bosses misli inače trošio vreme crnohumorne kvazi socijalne drame al zanimljivo čarli dej glumi,umetnost,1
 iskreno zanima horibl bosiz uglavnom slažem ovima httpwwwyoutubecomwatchvzdaapmfe,umetnost,1
gledao mafiju skinuo lik httpwwwyoutubecomwatchvxznvwnz,umetnost,1
 gledao horrible bosses misli inače trošio vreme crnohumorne kvazi socijalne drame al zanimljivo čarli dej glumi a čarli dej on glumi a film jedva čekam ,umetnost,2
jericho film a ti dosadno a nemam ja visokoumetničke kritrijume ti ,umetnost,1
a čarli dej on glumi zajebavaš glumi httpwwwyoutubecomwatchvdonmqqgumi,umetnost,1
 serija moraću odgledam ,umetnost,1
zombieland first time let a girl into my life she tries eat fail film smešan al govno,umetnost,2
ljudi aj dajte dobar titlovan film ,umetnost,2
ljudi aj dajte dobar titlovan film titlovan engleskom ,umetnost,1
sr jes sr,umetnost,1
httpwwwrajubuttcomhollywoodbangrajanhollywoodmoviewatchonline,umetnost,2
taxidermia madjarski covece httpwwwyoutubecomwatchvftrexqkm,umetnost,2
limitless kul,umetnost,2
film ime naroda dobar film govori tome zli ljudi dođu vlast a zatim rade najgore stvari pojavi svestan čovek brani interese sviju ljudi avaj ti ljudi interese brani izdaju,umetnost,2
 hours odgledao vrlo dobar film a vi mislite ovom httpwwwyoutubecomwatchvqevpolafeaturerelated l ste gledali prvi deo,umetnost,2
hhahah najjaci film gnomeo julija,umetnost,1
 misli čarobnjak oza najgejši film istoriji filma kaže barbara strajsend,umetnost,1
zaspo pola rebecce razumem umetnos editahah ala morbidno zvuči pola rebecce,umetnost,2
pocetak neviđeni tred plus italijanski nespojiv vridtaњem karakteristicnim horore bar daљe razvija prica loda a muzika sjajna vaљa podsetiti ovog majstorstva ,umetnost,1
gledo what ever happened baby jane ide top mojih filmova savršen akord očaja crne komedije dobre glume,umetnost,1
juče drugom programu film društvo mrtvih pesnika iliti death poets society dopao vi mislite,umetnost,1
cekaj mislid drugom osobe odtećenim vidom spiker objadњava dedava ja cekao pogledam film znao cemu radi pociњe film a spiker cita juniverzal pikcrs slika zidu dva decaka nosi dedir was like oh my inace cini preceњen film nepotrebno patetican cak pomalo plitak ja uopdte,umetnost,2
ini preceњen film nepotrebno patetican cak pomalo plitak čini ti film jeste patetičan dovoljno dirne srca pučka plitak takodje došao mozga tog istog puka precenjen ja zaboravijo preporučim toplo return oz aspolutno potpuno nepotrebno zapostavljen potcenjen film pak dečji detinjstvu uneredjivao gaće vidim genijalan zabole scenografiju manjak pederskih elemenata istoj čega film popljuvan genijalno trunke patetike onom laičkom smislu reči dirne ceo film jutjubu zanimljivo diznijevo čedočovek očekivao satrti a ništavaljda im stalo film uspeh,umetnost,2
 pogledam prisetim gledao davno ič filma sećam aurora podsetila nekim svojim postom httpwwwrottentomatoescommoneflewoverthecuckoosnest,umetnost,2
 gledao caddyshack,umetnost,1
gledo ja džanki humor doživljavam ozbiljniji način npr dirty rotten scoundrels,umetnost,2
lol pročitao dobar kanio pogledam a naišao sinopsisu serbian dado jehan croatian faruk pruti meet on a london bus brate,umetnost,2
gledao prije dana cuveni shining smor bem mu mater,umetnost,1
hah desilo zanimljivo gledao nedavno hičkokov steps zanimljiv kafkijanska atmosfera zabavan momente propustiti a third man psihološki triler noir nekih paralela tiču radnje činilo potonji dopao radnja zanimljivija manje padova pažnje tokom gledanjapotpuno zaboravio radnju nakon odgledao steps verovatno morati pogledam al ok preporučim oba httpwwwrottentomatoescommsteps httpwwwrottentomatoescommthethirdman,umetnost,2
limitless pogledao trailer loš ćemo suditi po tome bredli kuper robert de niro arthur ovog ludaka nikako pogledam planiram ovih dana a lud lik oženio keti peri glume russell brand lejdi helen mirren dylan dog dead of night gledao loš kakvog mišljenja ljudi čitaju stripove dilanu last night ljubavna drama keira knightley worthington eva mendes ćemo po glumačkoj postavi loše cracks jedna drama eva green glumi rango nikako odgledam kažu ljudi loše eto zp ti vidi ti valja,umetnost,2
 cu proguglati ja gledah zivo govno dilema nikako preporucujem,umetnost,2
gledao ja vinsom voganom vonom mu čita prezime onim debelim smorio isfurao kraju,umetnost,2
 videh paradajzu evom grinom ocajna ocena ti nisi gledao ovoga daj gledao,umetnost,1
gledao jedino dilana doga a artura ranga sutra limitless piše izašli dvdu sigurno postoje dobri snimci torentu,umetnost,1
 sranja gledas limitlesa dilana etc,umetnost,2
 dilana gledao remac skinuo a limitles gledao hoću vidim bredlija kupera glumi komediji,umetnost,2
 a ja ti kakim cimali gledam dilemma,umetnost,2
 glumi čeningmojne d,umetnost,1
e dilan dog takva govnusina tog rediteљa javno obesiti muda a limitless interesantan dtavide kul naivan al kul,umetnost,2
gledo treći put life of brian videti po novemu avataru,umetnost,2
 nekoj drugoj temi nekog vremena predložio film limitless skinula pogledala reći kul preporučujem,umetnost,1
e dilan dog takva govnusina tog rediteљa javno obesiti muda ja ni usuđujem vidim sraњe boљe odgledati delamorte delamor dva puta bar sisa,umetnost,1
 gledao largo winch,umetnost,2
messalina ja odgledao loš sviđaju tabletice ,umetnost,2
ljakse no primer niskobudžetni film dolazi engleskog govornog područja iznenadi kvalitetom dobar film eto pogledah gore navedeni film nekst dor nidta posebno prežvakana tema zajebao ja tajler durden preporucio scene hejt faka vrhunskom ribom razmazivaњa krvi po sisama,umetnost,1
preporucio onima odgledali pod obavezno pogledaju film sjajan,umetnost,2
odgledao hot faz don of d ded sviđaju oba preporuka preporucio onima odgledali pod obavezno pogledaju film sjajan drugarica smara godinu dana odgledam nikako mogao sutra jebemumater,umetnost,2
šon of ded dobar,umetnost,1
drugarica smara godinu dana odgledam nikako mogao sutra jebemumater obavezno verziju odudevićed ni novija loda odlican don of ded,umetnost,1
odlican don of ded prvih pola sata minuta sjajno urnebesno kasnije sav humor izlapi filma al svemu dobar film,umetnost,2
odgledao super super ,umetnost,2
pregledao zadnje strane jedino preporucujem kill irishman vrh film irska mafija fala bogu novo smorise italijani rango tesko govno filma prvi crtac skorije vreme prosecan ceo film odgleda promene izraza licu dub on prosao pored ludaka arthur inace film rimejk naprvaljen devojcice godina vlaze njim gledaju edwarda kullena britanski naglasak niko ni gledao,umetnost,2
quills najbolja nekrofilska scena ikad odgledao,umetnost,2
preporučujem boy in stryped pijjamaverovatno otkucao naziv filmano odličan svakom slučaju,umetnost,2
nisi striped pajamas skroz fin film odgledah ,umetnost,1
 danakon titanika mislio rećiali maltene film lionarda di kaprija sabija,umetnost,2
gledao inception solidan film boljih tog zanra,umetnost,2
 porastem biću kengur ubedljivo najjači srpski film,umetnost,2
 filmofil cape fear solidan film preporučujem svakom slučaju,umetnost,1
kilervgmmm buraz boli uvo njim ja vlažim lejdi helen miren,umetnost,2
odgledao your highness ok film posebno,umetnost,2
gledala easy a govno,umetnost,2
bekstvo šošenka preporuku jednoga vukajlijaša gledljiv preporučujem ,umetnost,2
